icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAR,Primavera,TODOS,sem_intensidade,+RA,0,0,,2,0,0.0
SBAR,TODAS,00-06,exato,TS,0,0,,0,0,
SBAR,TODAS,00-06,exato,+RA,0,0,,4,0,0.0
SBAR,TODAS,00-06,exato,+TSRA,0,0,,0,0,
SBAR,TODAS,00-06,exato,TSRA,1,0,0.0,0,0,
SBAR,TODAS,00-06,sem_intensidade,TS,0,0,,0,0,
SBAR,TODAS,00-06,sem_intensidade,TSRA,1,0,0.0,0,0,
SBAR,TODAS,00-06,sem_intensidade,+RA,0,0,,4,0,0.0
SBAR,TODAS,06-12,exato,TS,0,0,,0,0,
SBAR,TODAS,06-12,exato,+RA,0,0,,1,0,0.0
SBAR,TODAS,06-12,exato,+TSRA,1,0,0.0,0,0,
SBAR,TODAS,06-12,exato,TSRA,0,0,,0,0,
SBAR,TODAS,06-12,sem_intensidade,TS,0,0,,0,0,
SBAR,TODAS,06-12,sem_intensidade,TSRA,1,0,0.0,0,0,
SBAR,TODAS,06-12,sem_intensidade,+RA,0,0,,1,0,0.0
SBAR,TODAS,12-18,exato,TS,2,0,0.0,2,0,0.0
SBAR,TODAS,12-18,exato,+RA,0,0,,2,0,0.0
SBAR,TODAS,12-18,exato,+TSRA,0,0,,0,0,
SBAR,TODAS,12-18,exato,TSRA,20,0,0.0,1,0,0.0
SBAR,TODAS,12-18,sem_intensidade,TS,2,0,0.0,2,0,0.0
SBAR,TODAS,12-18,sem_intensidade,TSRA,20,0,0.0,1,0,0.0
SBAR,TODAS,12-18,sem_intensidade,+RA,0,0,,2,0,0.0
SBAR,TODAS,18-24,exato,TS,16,0,0.0,4,0,0.0
SBAR,TODAS,18-24,exato,+RA,0,0,,1,0,0.0
SBAR,TODAS,18-24,exato,+TSRA,0,0,,0,0,
SBAR,TODAS,18-24,exato,TSRA,4,0,0.0,0,0,
SBAR,TODAS,18-24,sem_intensidade,TS,16,0,0.0,4,0,0.0
SBAR,TODAS,18-24,sem_intensidade,TSRA,4,0,0.0,2,0,0.0
SBAR,TODAS,18-24,sem_intensidade,+RA,0,0,,1,0,0.0
SBAR,TODAS,TODOS,exato,TS,18,0,0.0,6,0,0.0
SBAR,TODAS,TODOS,exato,+RA,0,0,,8,0,0.0
SBAR,TODAS,TODOS,exato,+TSRA,1,0,0.0,0,0,
SBAR,TODAS,TODOS,exato,TSRA,25,0,0.0,1,0,0.0
SBAR,TODAS,TODOS,sem_intensidade,TS,18,0,0.0,6,0,0.0
SBAR,TODAS,TODOS,sem_intensidade,TSRA,26,0,0.0,3,0,0.0
SBAR,TODAS,TODOS,sem_intensidade,+RA,0,0,,8,0,0.0
SBBH,Verao,00-06,exato,TS,0,0,,0,0,
SBBH,Verao,00-06,exato,+RA,0,0,,0,0,
SBBH,Verao,00-06,exato,+TSRA,0,0,,0,0,
SBBH,Verao,00-06,exato,TSRA,0,0,,0,0,
SBBH,Verao,00-06,sem_intensidade,TS,0,0,,0,0,
SBBH,Verao,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBBH,Verao,00-06,sem_intensidade,+RA,0,0,,0,0,
SBBH,Verao,06-12,exato,TS,0,0,,0,0,
