icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAQ,TODAS,18-24,exato,TSRA,0,0,,0,0,
SBAQ,TODAS,18-24,sem_intensidade,TS,0,0,,0,0,
SBAQ,TODAS,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,TODAS,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAQ,TODAS,TODOS,exato,TS,0,0,,0,0,
SBAQ,TODAS,TODOS,exato,+RA,0,0,,0,0,
SBAQ,TODAS,TODOS,exato,+TSRA,0,0,,0,0,
SBAQ,TODAS,TODOS,exato,TSRA,0,0,,0,0,
SBAQ,TODAS,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAQ,TODAS,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAQ,TODAS,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAT,Verao,00-06,exato,TS,0,0,,0,0,
SBAT,Verao,00-06,exato,+RA,0,0,,0,0,
SBAT,Verao,00-06,exato,+TSRA,0,0,,0,0,
SBAT,Verao,00-06,exato,TSRA,0,0,,0,0,
SBAT,Verao,00-06,sem_intensidade,TS,0,0,,0,0,
SBAT,Verao,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAT,Verao,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAT,Verao,06-12,exato,TS,0,0,,0,0,
SBAT,Verao,06-12,exato,+RA,0,0,,0,0,
SBAT,Verao,06-12,exato,+TSRA,0,0,,0,0,
SBAT,Verao,06-12,exato,TSRA,0,0,,0,0,
SBAT,Verao,06-12,sem_intensidade,TS,0,0,,0,0,
SBAT,Verao,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAT,Verao,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAT,Verao,12-18,exato,TS,6,0,0.0,2,0,0.0
SBAT,Verao,12-18,exato,+RA,0,0,,0,0,
SBAT,Verao,12-18,exato,+TSRA,0,0,,0,0,
SBAT,Verao,12-18,exato,TSRA,19,0,0.0,0,0,
SBAT,Verao,12-18,sem_intensidade,TS,6,0,0.0,2,0,0.0
SBAT,Verao,12-18,sem_intensidade,TSRA,19,0,0.0,0,0,
SBAT,Verao,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAT,Verao,18-24,exato,TS,0,0,,0,0,
SBAT,Verao,18-24,exato,+RA,0,0,,0,0,
SBAT,Verao,18-24,exato,+TSRA,0,0,,0,0,
SBAT,Verao,18-24,exato,TSRA,0,0,,0,0,
SBAT,Verao,18-24,sem_intensidade,TS,0,0,,0,0,
SBAT,Verao,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAT,Verao,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAT,Verao,TODOS,exato,TS,6,0,0.0,2,0,0.0
SBAT,Verao,TODOS,exato,+RA,0,0,,0,0,
SBAT,Verao,TODOS,exato,+TSRA,0,0,,0,0,
SBAT,Verao,TODOS,exato,TSRA,19,0,0.0,0,0,
SBAT,Verao,TODOS,sem_intensidade,TS,6,0,0.0,2,0,0.0
SBAT,Verao,TODOS,sem_intensidade,TSRA,19,0,0.0,0,0,
SBAT,Verao,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAT,Outono,00-06,exato,TS,0,0,,0,0,
SBAT,Outono,00-06,exato,+RA,0,0,,0,0,
SBAT,Outono,00-06,exato,+TSRA,0,0,,0,0,
SBAT,Outono,00-06,exato,TSRA,0,0,,0,0,
SBAT,Outono,00-06,sem_intensidade,TS,0,0,,0,0,
SBAT,Outono,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAT,Outono,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAT,Outono,06-12,exato,TS,0,0,,0,0,
SBAT,Outono,06-12,exato,+RA,0,0,,0,0,
SBAT,Outono,06-12,exato,+TSRA,0,0,,0,0,
SBAT,Outono,06-12,exato,TSRA,0,0,,0,0,
SBAT,Outono,06-12,sem_intensidade,TS,0,0,,0,0,
SBAT,Outono,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAT,Outono,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAT,Outono,12-18,exato,TS,1,0,0.0,0,0,
SBAT,Outono,12-18,exato,+RA,0,0,,0,0,
SBAT,Outono,12-18,exato,+TSRA,0,0,,0,0,
SBAT,Outono,12-18,exato,TSRA,1,0,0.0,0,0,
SBAT,Outono,12-18,sem_intensidade,TS,1,0,0.0,0,0,
SBAT,Outono,12-18,sem_intensidade,TSRA,1,0,0.0,2,0,0.0
