ident,latitude_deg,longitude_deg,iata_code
BR-1101,-3.939457,-38.378971,
SIFV,-19.825829,-40.102168,
SJVO,-15.8994,-52.2411,ARS
SNAG,-18.668301,-48.190498,
SWON,-26.561531,-48.696048,
SIKK,-20.250557,-45.645,
SSOU,-10.187375,-59.457469,AIR
SDRR,-23.0922,-48.987399,
BR-2254,-23.221801,-48.790794,
BR-0139,-25.549311,-49.643565,
SSTH,-25.520223,-49.682472,
SIJR,-25.539024,-49.60236,
BR-3088,-17.005154,-56.471658,
SDBY,-22.069201,-48.706402,
BR-2181,-21.043384,-45.868231,
SWNK,-8.834573,-67.312485,BCR
SDOI,-23.298338,-47.692448,
BR-0322,-13.248888,-43.496667,
SIQE,-15.937469,-47.726636,
BR-0577,-16.014444,-47.558056,
SDAN,-22.245274,-48.259931,
SD4G,-9.567788,-68.290944,
SDJF,-23.846065,-48.448055,
SSDI,-5.659765,-43.705702,
SSWS,-30.549625,-53.458177,
SSKS,-30.00189971923828,-52.940799713134766,QDB
SDLK,-14.4812,-42.264702,
SNWC,-2.895596,-40.859299,CMC
SNCV,-19.551478,-49.497425,
SNCA,-20.89229965209961,-45.33509826660156,
SSKM,-24.009199,-52.3568,CBW
SWOZ,-15.304751,-54.900644,
SIWJ,-15.528713,-55.141441,
SWOC,-22.025278091430664,-57.364723205566406,
SDKB,-21.788055,-47.055557,
SWWZ,-4.109722,-38.242778,
SSCL,-19.146861,-51.676941,CSS
SWCZ,-15.34422,-49.604019,
SNAN,-28.066857,-53.877368,
SNIO,-11.125278,-38.486946,
SWKO,-4.13406,-63.132599,CIZ
SJQP,-12.801619,-50.628347,
SNKD,-19.020299911499023,-43.43389892578125,
SJHG,-10.633296,-51.565836,CFO
SNKF,-20.738585,-43.797444,
SSCP,-23.152711,-50.602868,CKO
SSCI,-18.477699,-54.714699,
SJCY,-15.680085,-55.95603,
SIAQ,-15.506389,-56.098333,
SNUS,-19.941324,-47.771367,
BR-1082,-25.684586,-53.06747,
SJTZ,-4.3027777671813965,-47.581668853759766,
SSIC,-22.306667,-54.824444,
SWEI,-6.639533,-69.879709,ERN
SIXE,-30.050278,-51.443611,
SSEZ,-28.738719,-52.857248,
SSEE,-29.453107,-51.934072,
BR-2768,-18.726931,-47.869263,
SJFF,-20.294722,-50.41055,
SJDS,-3.917155,-38.489179,
